day_utc,region,nodes_count,avg_rewards_xdr_permyriad,avg_coefficient,daily_xdr_permyriad
2025-12-14,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-15,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-16,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-17,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-18,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-19,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-20,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-21,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-22,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-23,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-24,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-25,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-26,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-27,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-28,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-29,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-30,North America:US,3,506926.751540041,0.7,370056.52862423
2025-12-31,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-1,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-2,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-3,North America:US,2,506926.751540041,0.7,430887.7388090349
2026-1-4,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-5,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-6,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-7,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-8,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-9,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-10,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-11,North America:US,3,506926.751540041,0.7,370056.52862423
2026-1-12,North America:US,3,506926.751540041,0.7,370056.52862423
