day,total_adjusted_rewards_xdr_permyriad,nodes_in_registry,underperforming_nodes
14-06-2025,2683241.7287,6,
15-06-2025,2683241.7287,6,
16-06-2025,2683241.7287,6,
17-06-2025,2683241.7287,6,
18-06-2025,2683241.7287,6,
19-06-2025,2683241.7287,6,
20-06-2025,2683241.7287,6,
21-06-2025,2683241.7287,6,
22-06-2025,2683241.7287,6,
23-06-2025,2683241.7287,6,
24-06-2025,2683241.7287,6,
25-06-2025,2683241.7287,6,
26-06-2025,2683241.7287,6,
27-06-2025,2683241.7287,6,
28-06-2025,2683241.7287,6,
29-06-2025,2683241.7287,6,
30-06-2025,2683241.7287,6,
01-07-2025,2683241.7287,6,
02-07-2025,2683241.7287,6,
03-07-2025,2683241.7287,6,
04-07-2025,2683241.7287,6,
05-07-2025,2683241.7287,6,
06-07-2025,2683241.7287,6,
07-07-2025,2683241.7287,6,
08-07-2025,2683241.7287,6,
09-07-2025,2683241.7287,6,
10-07-2025,2683241.7287,6,
11-07-2025,2683241.7287,6,
12-07-2025,2683241.7287,6,
13-07-2025,2683241.7287,6,
